Backdrop rect=(x:-720.00, y:-450.00, width:1440.00, height:900.00) pos=(0.00, 0.00) culled=False color=RGBA(0.018, 0.035, 0.065, 0.680) texture=UnityWhite
TopAccent rect=(x:-662.40, y:-1.80, width:1324.80, height:3.60) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=UnityWhite
Brand rect=(x:-129.60, y:-45.00, width:259.20, height:90.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Descriptor rect=(x:-288.00, y:-12.60, width:576.00, height:25.20) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Footer rect=(x:-432.00, y:-20.25, width:864.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Team rect=(x:-270.00, y:-20.25, width:540.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
LegalTitle rect=(x:-590.40, y:-36.00, width:1180.80, height:72.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
DocumentViewer rect=(x:-590.40, y:-200.25, width:1180.80, height:400.50) pos=(0.00, 0.00) culled=False color=RGBA(1.000, 1.000, 1.000, 1.000) texture=UnityWhite
DocumentPage rect=(x:-590.40, y:-1667.78, width:1180.80, height:1667.78) pos=(0.00, 0.00) culled=False color=RGBA(1.000, 1.000, 1.000, 1.000) texture=VLAB _ Điều khoản sử dụng _ terms of service (VN)-1
PreviousPage rect=(x:-54.00, y:-29.25, width:108.00, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-50.22, y:-26.91, width:100.44, height:53.82) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-54.00, y:-0.73, width:108.00, height:1.46) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
PageCount rect=(x:-201.60, y:-29.25, width:403.20, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
NextPage rect=(x:-54.00, y:-29.25, width:108.00, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-50.22, y:-26.91, width:100.44, height:53.82) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-54.00, y:-0.73, width:108.00, height:1.46) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
ZoomOut rect=(x:-54.00, y:-29.25, width:108.00, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-50.22, y:-26.91, width:100.44, height:53.82) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-54.00, y:-0.73, width:108.00, height:1.46) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
ZoomIn rect=(x:-54.00, y:-29.25, width:108.00, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-50.22, y:-26.91, width:100.44, height:53.82) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-54.00, y:-0.73, width:108.00, height:1.46) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
ZoomHint rect=(x:-64.80, y:-29.25, width:129.60, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
LegalBack rect=(x:-172.80, y:-33.75, width:345.60, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-160.70, y:-31.05, width:321.41, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-172.80, y:-0.84, width:345.60, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
AcceptDocument rect=(x:-309.60, y:-33.75, width:619.20, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=VLAB rounded surface
Label rect=(x:-287.93, y:-31.05, width:575.86, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.051, 0.067, 0.090, 1.000) texture=Font Texture
Accent rect=(x:-309.60, y:-0.84, width:619.20, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.380, 0.880, 1.000, 1.000) texture=UnityWhite
