Backdrop rect=(x:-720.00, y:-450.00, width:1440.00, height:900.00) pos=(0.00, 0.00) culled=False color=RGBA(0.018, 0.035, 0.065, 0.480) texture=UnityWhite
TopAccent rect=(x:-662.40, y:-1.80, width:1324.80, height:3.60) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=UnityWhite
Brand rect=(x:-129.60, y:-45.00, width:259.20, height:90.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Descriptor rect=(x:-288.00, y:-12.60, width:576.00, height:25.20) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Footer rect=(x:-432.00, y:-20.25, width:864.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Team rect=(x:-270.00, y:-20.25, width:540.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Eyebrow rect=(x:-410.40, y:-20.25, width:820.80, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=Font Texture
Hero rect=(x:-424.80, y:-103.50, width:849.60, height:207.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Introduction rect=(x:-410.40, y:-51.75, width:820.80, height:103.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
EnterLabs rect=(x:-288.00, y:-42.75, width:576.00, height:85.50) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=VLAB rounded surface
Label rect=(x:-267.84, y:-39.33, width:535.68, height:78.66) pos=(0.00, 0.00) culled=False color=RGBA(0.051, 0.067, 0.090, 1.000) texture=Font Texture
Accent rect=(x:-288.00, y:-1.07, width:576.00, height:2.14) pos=(0.00, 0.00) culled=False color=RGBA(0.380, 0.880, 1.000, 1.000) texture=UnityWhite
ScientificOrbits rect=(x:-208.80, y:-216.00, width:417.60, height:432.00) pos=(0.00, 0.00) culled=False color=RGBA(1.000, 1.000, 1.000, 1.000) texture=UnityWhite
ArtCaption rect=(x:-144.00, y:-22.50, width:288.00, height:45.00) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=Font Texture
Settings rect=(x:-122.40, y:-28.80, width:244.80, height:57.60) pos=(0.00, 0.00) culled=False color=RGBA(0.078, 0.133, 0.188, 1.000) texture=VLAB rounded surface
Label rect=(x:-113.83, y:-26.50, width:227.66, height:52.99) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-122.40, y:-0.72, width:244.80, height:1.44) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
Help rect=(x:-122.40, y:-28.80, width:244.80, height:57.60) pos=(0.00, 0.00) culled=False color=RGBA(0.078, 0.133, 0.188, 1.000) texture=VLAB rounded surface
Label rect=(x:-113.83, y:-26.50, width:227.66, height:52.99) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-122.40, y:-0.72, width:244.80, height:1.44) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
About rect=(x:-122.40, y:-28.80, width:244.80, height:57.60) pos=(0.00, 0.00) culled=False color=RGBA(0.078, 0.133, 0.188, 1.000) texture=VLAB rounded surface
Label rect=(x:-113.83, y:-26.50, width:227.66, height:52.99) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-122.40, y:-0.72, width:244.80, height:1.44) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
Quit rect=(x:-122.40, y:-28.80, width:244.80, height:57.60) pos=(0.00, 0.00) culled=False color=RGBA(0.078, 0.133, 0.188, 1.000) texture=VLAB rounded surface
Label rect=(x:-113.83, y:-26.50, width:227.66, height:52.99) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-122.40, y:-0.72, width:244.80, height:1.44) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
