Backdrop rect=(x:-720.00, y:-450.00, width:1440.00, height:900.00) pos=(0.00, 0.00) culled=False color=RGBA(0.018, 0.035, 0.065, 0.480) texture=UnityWhite
TopAccent rect=(x:-662.40, y:-1.80, width:1324.80, height:3.60) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=UnityWhite
Brand rect=(x:-129.60, y:-45.00, width:259.20, height:90.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Descriptor rect=(x:-288.00, y:-12.60, width:576.00, height:25.20) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Footer rect=(x:-432.00, y:-20.25, width:864.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Team rect=(x:-270.00, y:-20.25, width:540.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Back rect=(x:-104.40, y:-29.25, width:208.80, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.078, 0.133, 0.188, 1.000) texture=VLAB rounded surface
Label rect=(x:-97.09, y:-26.91, width:194.18, height:53.82) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-104.40, y:-0.73, width:208.80, height:1.46) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
Title rect=(x:-590.40, y:-40.50, width:1180.80, height:81.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Subtitle rect=(x:-590.40, y:-27.00, width:1180.80, height:54.00) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Lab_01 rect=(x:-284.40, y:-103.50, width:568.80, height:207.00) pos=(0.00, 0.00) culled=False color=RGBA(0.078, 0.133, 0.188, 1.000) texture=VLAB rounded surface
Edge rect=(x:-1.99, y:-103.50, width:3.98, height:207.00) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=UnityWhite
Index rect=(x:-34.13, y:-18.63, width:68.26, height:37.26) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=Font Texture
Name rect=(x:-207.61, y:-23.81, width:415.22, height:47.61) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Description rect=(x:-250.27, y:-33.12, width:500.54, height:66.24) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Enter rect=(x:-250.27, y:-25.88, width:500.54, height:51.75) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=VLAB rounded surface
Label rect=(x:-232.75, y:-23.81, width:465.51, height:47.61) pos=(0.00, 0.00) culled=False color=RGBA(0.051, 0.067, 0.090, 1.000) texture=Font Texture
