Backdrop rect=(x:-720.00, y:-450.00, width:1440.00, height:900.00) pos=(0.00, 0.00) culled=False color=RGBA(0.018, 0.035, 0.065, 0.980) texture=UnityWhite
TopAccent rect=(x:-662.40, y:-1.80, width:1324.80, height:3.60) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=UnityWhite
Brand rect=(x:-129.60, y:-45.00, width:259.20, height:90.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Descriptor rect=(x:-288.00, y:-12.60, width:576.00, height:25.20) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Footer rect=(x:-432.00, y:-20.25, width:864.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Team rect=(x:-270.00, y:-20.25, width:540.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Title rect=(x:-590.40, y:-40.50, width:1180.80, height:81.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Subtitle rect=(x:-590.40, y:-27.00, width:1180.80, height:54.00) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Resume rect=(x:-360.00, y:-40.50, width:720.00, height:81.00) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=VLAB rounded surface
Label rect=(x:-334.80, y:-37.26, width:669.60, height:74.52) pos=(0.00, 0.00) culled=False color=RGBA(0.051, 0.067, 0.090, 1.000) texture=Font Texture
Accent rect=(x:-360.00, y:-1.01, width:720.00, height:2.03) pos=(0.00, 0.00) culled=False color=RGBA(0.380, 0.880, 1.000, 1.000) texture=UnityWhite
LabHelp rect=(x:-172.80, y:-33.75, width:345.60, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-160.70, y:-31.05, width:321.41, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-172.80, y:-0.84, width:345.60, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
LabSettings rect=(x:-172.80, y:-33.75, width:345.60, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-160.70, y:-31.05, width:321.41, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-172.80, y:-0.84, width:345.60, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
ResetExperiment rect=(x:-172.80, y:-33.75, width:345.60, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-160.70, y:-31.05, width:321.41, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-172.80, y:-0.84, width:345.60, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
SelectExperiment rect=(x:-172.80, y:-33.75, width:345.60, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-160.70, y:-31.05, width:321.41, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-172.80, y:-0.84, width:345.60, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
ReturnHome rect=(x:-360.00, y:-33.75, width:720.00, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-334.80, y:-31.05, width:669.60, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-360.00, y:-0.84, width:720.00, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
