Backdrop rect=(x:-720.00, y:-450.00, width:1440.00, height:900.00) pos=(0.00, 0.00) culled=False color=RGBA(0.018, 0.035, 0.065, 0.980) texture=UnityWhite
TopAccent rect=(x:-662.40, y:-1.80, width:1324.80, height:3.60) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=UnityWhite
Brand rect=(x:-129.60, y:-45.00, width:259.20, height:90.00) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Descriptor rect=(x:-288.00, y:-12.60, width:576.00, height:25.20) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Footer rect=(x:-432.00, y:-20.25, width:864.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Team rect=(x:-270.00, y:-20.25, width:540.00, height:40.50) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
Back rect=(x:-104.40, y:-29.25, width:208.80, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-97.09, y:-26.91, width:194.18, height:53.82) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-104.40, y:-0.73, width:208.80, height:1.46) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
SectionRibbon rect=(x:-489.60, y:-35.10, width:979.20, height:70.20) pos=(0.00, 0.00) culled=False color=RGBA(1.000, 1.000, 1.000, 1.000) texture=VLAB cyan ribbon
Heading rect=(x:-489.60, y:-35.10, width:979.20, height:70.20) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
LearningTab rect=(x:-80.64, y:-30.15, width:161.28, height:60.30) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=VLAB rounded surface
Label rect=(x:-75.00, y:-27.74, width:149.99, height:55.48) pos=(0.00, 0.00) culled=False color=RGBA(0.051, 0.067, 0.090, 1.000) texture=Font Texture
Accent rect=(x:-80.64, y:-0.75, width:161.28, height:1.51) pos=(0.00, 0.00) culled=False color=RGBA(0.380, 0.880, 1.000, 1.000) texture=UnityWhite
SoundTab rect=(x:-80.64, y:-30.15, width:161.28, height:60.30) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-75.00, y:-27.74, width:149.99, height:55.48) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-80.64, y:-0.75, width:161.28, height:1.51) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
